GroupID,Bacteria,Genotype,N,RelativeExpressionLevels,sd,se,ci
D10_Mock,Mock,D10,4,1.0275,0.20629671188202,0.10314835594101,0.328264104260557
D17_Mock,Mock,D17,4,1.025,0.26134268690744,0.13067134345372,0.415854534180749
D27_Mock,Mock,D27,4,1.0075,0.156498136304132,0.078249068152066,0.249023457832435
OS1400_Mock,Mock,OS1400,4,1.02,0.214009345590327,0.107004672795163,0.34053662558506
OS900_Mock,Mock,OS900,4,1,0.0216024689946929,0.0108012344973464,0.0343743488185831
D10_R780,R780,D10,4,0.4825,0.155857841210081,0.0779289206050403,0.248004605454258
D17_R780,R780,D17,4,1.16,0.287170100579198,0.143585050289599,0.45695171278811
D27_R780,R780,D27,4,0.4375,0.0917877987534291,0.0458938993767146,0.146054870506487
OS1400_R780,R780,OS1400,4,1.145,0.174833253892578,0.087416626946289,0.278198721445582
OS900_R780,R780,OS900,4,1.0375,0.122848144742469,0.0614240723712346,0.195478812173315
